Category,Account bans,Account unbans,Unban rate
CSAM,"51,971",152,0.29%
Cybercrime,"40,353",282,0.70%
Doxxing,"5,559",151,2.72%
Exploitative Content,"238,019",729,0.31%
Extremist or Violent Content,"42,972",414,0.96%
Graphic Content,"17,577",250,1.42%
Hacks and Cheats,"6,832",60,0.88%
Harassment,"48,953",780,1.59%
Malware,"2,952",147,4.98%
Other Issue,651,45,6.91%
Platform Abuse,"7,447",114,1.53%
Raiding,"5,919",72,1.22%
Self-Harm Concerns,"1,260",30,2.38%
Spam,"7,776,793",461,0.01%